SKU;Display name;Class;Status;Brend;Project;Actually;Added;Dropped;Volume;Alcohol (procents)
#87;SKU #87;#12;#1;#307;#41;#1;26.11.2018;01.01.1900;0.75;0.135
#88;SKU #88;#12;#1;#177;#32;#1;27.06.2018;01.01.1900;0.75;0.12
#89;SKU #89;#12;#2;#174;#32;#1;27.06.2018;01.01.1900;0.75;0.125
#90;SKU #90;#12;#1;#218;#33;#1;16.05.2018;01.01.1900;0.75;0.13
#91;SKU #91;#11;#1;#83;#10;#1;30.06.2020;01.01.1900;0.7;0.4
#92;SKU #92;#13;#1;#168;#29;#1;10.07.2020;01.01.1900;0.75;0.11
#93;SKU #93;#1;#1;#9;#1;#1;06.03.2018;01.01.1900;0.5;0.4
#94;SKU #94;#2;#1;#38;#1;#1;26.02.2018;01.01.1900;0.7;0.35
#95;SKU #95;#5;#2;#43;#1;#1;30.01.2018;22.07.2022;0.7;0.43
#96;SKU #96;;;;;;;;0;0
#97;SKU #97;;;;;;;;0;0
#98;SKU #98;#13;#1;#168;#29;#1;10.07.2020;01.01.1900;0.75;0.11
#99;SKU #99;#13;#1;#168;#29;#1;10.07.2020;01.01.1900;0.75;0.11
#100;SKU #100;#1;#2;#31;#1;#1;12.01.2016;07.09.2021;0.5;0.4
#101;SKU #101;#12;#1;#186;#32;#1;18.03.2016;01.01.1900;0.75;0.12
#102;SKU #102;#1;#1;#9;#1;#1;31.05.2016;01.01.1900;0.5;0.4
#103;SKU #103;#10;#1;#75;#8;#1;26.10.2012;01.01.1900;1;0.4
#104;SKU #104;#12;#1;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.11
#105;SKU #105;#12;#1;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#106;SKU #106;#2;#2;#31;#1;#1;14.07.2016;24.01.2022;0.5;0.4
#107;SKU #107;#13;#1;#179;#32;#1;17.10.2016;01.01.1900;0.75;0.11
#108;SKU #108;#12;#2;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#109;SKU #109;#12;#1;#174;#32;#1;29.05.2014;01.01.1900;0.75;0.11
#110;SKU #110;#13;#1;#203;#33;#1;20.01.2017;01.01.1900;0.75;0.115
#111;SKU #111;#13;#1;#210;#33;#1;27.09.2017;01.01.1900;0.75;0.11
#112;SKU #112;#13;#1;#210;#33;#1;27.09.2017;01.01.1900;0.75;0.065
#113;SKU #113;;;;;;;;0;0
#114;SKU #114;;;;;;;;0;0
#115;SKU #115;#13;#1;#194;#33;#1;05.02.2020;01.01.1900;0.75;0.08
#116;SKU #116;#12;#1;#178;#32;#1;14.11.2014;01.01.1900;0.75;0.105
#117;SKU #117;;;;;;;;0;0
#118;SKU #118;;;;;;;;0;0
#119;SKU #119;#12;#1;#177;#32;#1;10.07.2014;01.01.1900;0.75;0.12
#120;SKU #120;#12;#2;#176;#32;#1;29.05.2014;01.04.2022;0.75;0.13
#121;SKU #121;;;;;;;;0;0
#122;SKU #122;#13;#1;#210;#33;#1;27.09.2017;01.01.1900;0.75;0.065
#123;SKU #123;;;;;;;;0;0
#124;SKU #124;;;;;;;;0;0
#125;SKU #125;#13;#1;#210;#33;#1;27.09.2017;01.01.1900;0.75;0.065
#126;SKU #126;#13;#2;#175;#32;#1;29.05.2014;22.07.2022;0.75;0.08
#127;SKU #127;#12;#1;#174;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#128;SKU #128;#1;#1;#19;#1;#1;24.03.2020;01.01.1900;0.5;0.4
#129;SKU #129;;;;;;;;0;0
#130;SKU #130;;;;;;;;0;0
#131;SKU #131;#12;#1;#197;#33;#1;05.03.2020;01.01.1900;0.75;0.1
#132;SKU #132;;;;;;;;0;0
#133;SKU #133;;;;;;;;0;0
#134;SKU #134;#10;#1;#81;#8;#1;06.08.2019;01.01.1900;0.7;0.4
#135;SKU #135;#6;#1;#35;#1;#1;15.10.2018;01.01.1900;0.5;0.4
#136;SKU #136;#1;#1;#9;#1;#1;03.09.2018;01.01.1900;0.25;0.4
#137;SKU #137;#10;#1;#44;#1;#1;13.06.2018;01.01.1900;0.7;0.4
#138;SKU #138;#10;#1;#38;#1;#1;19.03.2018;01.01.1900;1;0.4
#139;SKU #139;;;;;;;;0;0
#140;SKU #140;#12;#2;#183;#32;#1;18.04.2016;01.01.1900;0.75;0.15
#141;SKU #141;;;;;;;;0;0
#142;SKU #142;;;;;;;;0;0
#143;SKU #143;;;;;;;;0;0
#144;SKU #144;#10;#2;#75;#8;#1;31.01.2018;19.10.2018;0.5;0.4
#145;SKU #145;#12;#2;#319;#46;#1;24.03.2020;01.01.1900;0.75;0.11
#146;SKU #146;#1;#1;#19;#1;#1;24.03.2020;01.01.1900;0.5;0.4
#147;SKU #147;#12;#1;#197;#33;#1;05.03.2020;01.01.1900;0.75;0.085
#148;SKU #148;#5;#2;#43;#1;#1;30.01.2018;22.07.2022;0.5;0.43
#149;SKU #149;;;;;;;;0;0
#150;SKU #150;#10;#1;#38;#1;#1;23.11.2017;01.01.1900;0.7;0.4
#151;SKU #151;;;;;;;;0;0
#152;SKU #152;;;;;;;;0;0
#153;SKU #153;;;;;;;;0;0
#154;SKU #154;#12;#1;#287;#37;#1;30.06.2017;01.01.1900;0.75;0.13
#155;SKU #155;;;;;;;;0;0
#156;SKU #156;#10;#2;#38;#1;#1;24.04.2017;01.01.1900;0.5;0.4
#157;SKU #157;#1;#1;#34;#1;#1;30.01.2020;01.01.1900;0.7;0.4
#158;SKU #158;#6;#1;#37;#1;#1;28.03.2017;01.01.1900;0.5;0.4
#159;SKU #159;#1;#1;#34;#1;#1;30.01.2020;01.01.1900;0.7;0.4
#160;SKU #160;;;;;;;;0;0
#161;SKU #161;#1;#2;#19;#1;#2;29.08.2016;26.10.2021;0.7;0.4
#162;SKU #162;#12;#1;#285;#35;#1;24.12.2014;01.01.1900;0.75;0.12
#163;SKU #163;#12;#1;#218;#33;#1;16.05.2018;01.01.1900;0.75;0.13
#164;SKU #164;#2;#2;#31;#1;#1;05.07.2018;07.09.2021;0.5;0.3
#165;SKU #165;#12;#1;#308;#41;#1;26.11.2018;01.01.1900;0.75;0.135
#166;SKU #166;#12;#1;#305;#41;#1;26.11.2018;01.01.1900;0.75;0.14
#167;SKU #167;;;;;;;;0;0
#168;SKU #168;;;;;;;;0;0
#169;SKU #169;#1;#2;#31;#1;#1;21.05.2019;23.03.2022;0.7;0.4
#170;SKU #170;;;;;;;;0;0
#171;SKU #171;;;;;;;;0;0
#172;SKU #172;#1;#1;#9;#1;#1;10.06.2019;01.01.1900;0.5;0.4
#173;SKU #173;#1;#2;#9;#1;#1;10.06.2019;01.04.2022;0.5;0.4
#174;SKU #174;#12;#1;#174;#32;#1;29.05.2014;01.01.1900;0.75;0.11
#175;SKU #175;#1;#1;#9;#1;#1;13.06.2019;01.01.1900;0.5;0.4
#176;SKU #176;#12;#1;#292;#40;#1;22.05.2018;01.01.1900;0.75;0.13
#177;SKU #177;#12;#1;#255;#34;#2;20.03.2018;01.01.1900;0.75;0.135
#178;SKU #178;;;;;;;;0;0
#179;SKU #179;;;;;;;;0;0
#180;SKU #180;;;;;;;;0;0
#181;SKU #181;;;;;;;;0;0
#182;SKU #182;#6;#1;#37;#1;#1;05.06.2018;01.01.1900;0.1;0.4
#183;SKU #183;#12;#2;#182;#32;#1;20.06.2018;01.01.1900;0.75;0.125
#184;SKU #184;#10;#1;#45;#1;#1;22.08.2018;01.01.1900;0.7;0.4
#185;SKU #185;#12;#2;#202;#33;#1;19.10.2016;22.07.2022;0.75;0.11
#186;SKU #186;#12;#1;#201;#33;#1;17.10.2016;01.01.1900;0.75;0.12
#187;SKU #187;#12;#2;#199;#33;#1;28.09.2016;01.01.1900;0.75;0.135
#188;SKU #188;#6;#1;#35;#1;#1;01.06.2018;01.01.1900;0.25;0.4
#189;SKU #189;#12;#1;#287;#37;#1;30.06.2017;01.01.1900;0.75;0.115
#190;SKU #190;#12;#1;#291;#39;#1;04.10.2017;01.01.1900;0.75;0.12
#191;SKU #191;#12;#2;#282;#35;#1;24.12.2014;01.01.1900;0.75;0.135
#192;SKU #192;#11;#1;#85;#11;#1;02.09.2014;01.01.1900;0.7;0.4
#193;SKU #193;#12;#2;#173;#32;#1;29.05.2014;22.07.2022;0.75;0.11
#194;SKU #194;#14;#1;#78;#8;#1;22.06.2012;01.01.1900;0.75;0.4
#195;SKU #195;;;;;;;;0;0
#196;SKU #196;;;;;;;;0;0
#197;SKU #197;#7;#1;#62;#6;#1;15.09.2020;01.01.1900;0.7;0.38
#198;SKU #198;#13;#1;#288;#37;#1;09.09.2020;01.01.1900;0.75;0.115
#199;SKU #199;#10;#1;#73;#8;#1;04.08.2020;01.01.1900;0.7;0.4
#200;SKU #200;#7;#1;#62;#6;#1;30.06.2020;01.01.1900;0.7;0.38
#201;SKU #201;#11;#1;#84;#10;#1;30.06.2020;01.01.1900;0.7;0.38
#202;SKU #202;#11;#1;#83;#10;#1;30.06.2020;01.01.1900;0.7;0.4
#203;SKU #203;;;;;;;;0;0
#204;SKU #204;#12;#1;#289;#38;#1;23.12.2019;01.01.1900;0.75;0.135
#205;SKU #205;;;;;;;;0;0
#206;SKU #206;;;;;;;;0;0
#207;SKU #207;;;;;;;;0;0
#208;SKU #208;#1;#1;#9;#1;#1;16.08.2019;01.01.1900;0.1;0.4
#209;SKU #209;#10;#1;#46;#1;#1;07.03.2019;01.01.1900;0.5;0.4
#210;SKU #210;#1;#2;#9;#1;#1;25.01.2019;01.04.2022;0.375;0.4
#211;SKU #211;;;;;;;;0;0
#212;SKU #212;#10;#1;#70;#8;#1;11.09.2018;01.01.1900;0.7;0.4
#213;SKU #213;#13;#1;#54;#3;#1;30.03.2020;01.01.1900;0.75;0.12
#214;SKU #214;#12;#2;#268;#34;#2;24.03.2020;22.07.2022;0.75;0.2
#215;SKU #215;#12;#2;#268;#34;#1;24.03.2020;01.01.1900;0.75;0.195
#216;SKU #216;#13;#1;#54;#3;#1;03.03.2020;01.01.1900;0.75;0.12
#217;SKU #217;;;;;;;;0;0
#218;SKU #218;#6;#1;#100;#17;#1;31.01.2020;01.01.1900;0.5;0.4
#219;SKU #219;#6;#2;#100;#17;#1;31.01.2020;22.12.2021;0.25;0.4
#220;SKU #220;#6;#1;#102;#17;#1;31.01.2020;01.01.1900;0.5;0.4
#221;SKU #221;#12;#2;#211;#33;#1;27.09.2017;01.01.1900;0.75;0.12
#222;SKU #222;#12;#2;#211;#33;#1;27.09.2017;01.01.1900;0.75;0.12
#223;SKU #223;#12;#1;#213;#33;#1;29.09.2017;01.01.1900;0.75;0.12
#224;SKU #224;;;;;;;;0;0
#225;SKU #225;;;;;;;;0;0
#226;SKU #226;;;;;;;;0;0
#227;SKU #227;;;;;;;;0;0
#228;SKU #228;#12;#1;#216;#33;#1;27.11.2017;01.01.1900;0.75;0.115
#229;SKU #229;#12;#1;#216;#33;#1;27.11.2017;01.01.1900;0.75;0.12
#230;SKU #230;#12;#1;#215;#33;#1;27.11.2017;01.01.1900;0.75;0.125
#231;SKU #231;#12;#1;#215;#33;#1;27.11.2017;01.01.1900;0.75;0.125
#232;SKU #232;;;;;;;;0;0
#233;SKU #233;;;;;;;;0;0
#234;SKU #234;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.13
#235;SKU #235;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.135
#236;SKU #236;#12;#1;#217;#33;#1;12.01.2018;01.01.1900;0.75;0.13
#237;SKU #237;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.125
#238;SKU #238;#12;#1;#217;#33;#1;12.01.2018;01.01.1900;0.75;0.13
#239;SKU #239;#12;#1;#317;#45;#1;12.01.2018;01.01.1900;0.75;0.125
#240;SKU #240;;;;;;;;0;0
#241;SKU #241;#1;#1;#17;#1;#1;09.02.2018;01.01.1900;0.7;0.4
#242;SKU #242;#1;#1;#9;#1;#1;06.03.2018;01.01.1900;0.7;0.4
#243;SKU #243;#12;#1;#255;#34;#1;20.03.2018;01.01.1900;0.75;0.13
#244;SKU #244;;;;;;;;0;0
#245;SKU #245;#12;#1;#215;#33;#1;30.03.2018;01.01.1900;0.75;0.125
#246;SKU #246;#4;#1;#56;#5;#1;21.08.2013;01.01.1900;0.5;0.45
#247;SKU #247;#10;#1;#70;#8;#1;01.01.2001;01.01.1900;0.5;0.4
#248;SKU #248;#12;#1;#221;#33;#1;05.06.2019;01.01.1900;0.75;0.12
#249;SKU #249;#12;#1;#221;#33;#1;05.06.2019;01.01.1900;0.75;0.125
#250;SKU #250;#12;#1;#221;#33;#1;05.06.2019;01.01.1900;0.75;0.105
#251;SKU #251;#12;#1;#177;#32;#1;10.07.2014;01.01.1900;0.75;0.125
#252;SKU #252;;;;;;;;0;0
#253;SKU #253;#11;#1;#85;#11;#1;02.09.2014;01.01.1900;0.7;0.42
#254;SKU #254;#13;#1;#252;#34;#1;14.11.2014;01.01.1900;0.75;0.115
#255;SKU #255;#12;#1;#178;#32;#1;14.11.2014;01.01.1900;0.75;0.11
#256;SKU #256;#1;#1;#13;#1;#1;19.07.2019;01.01.1900;0.5;0.4
#257;SKU #257;#1;#1;#13;#1;#1;19.07.2019;01.01.1900;0.7;0.4
#258;SKU #258;#1;#1;#39;#1;#1;02.08.2019;01.01.1900;0.7;0.4
#259;SKU #259;#1;#1;#39;#1;#1;02.08.2019;01.01.1900;0.5;0.4
#260;SKU #260;;;;;;;;0;0
#261;SKU #261;#7;#1;#63;#6;#1;06.08.2019;01.01.1900;0.7;0.4
#262;SKU #262;#12;#1;#181;#32;#1;14.11.2014;01.01.1900;0.75;0.13
#263;SKU #263;;;;;;;;0;0
#264;SKU #264;#12;#2;#53;#3;#2;12.12.2019;01.01.1900;0.75;0.135
#265;SKU #265;#12;#1;#181;#32;#1;14.11.2014;01.01.1900;0.75;0.125
#266;SKU #266;;;;;;;;0;0
#267;SKU #267;#7;#1;#63;#6;#1;23.12.2014;01.01.1900;0.7;0.4
#268;SKU #268;#12;#1;#284;#35;#1;24.12.2014;01.01.1900;0.75;0.13
#269;SKU #269;#12;#1;#284;#35;#1;24.12.2014;01.01.1900;0.75;0.13
#270;SKU #270;#1;#1;#34;#1;#1;30.01.2020;01.01.1900;0.5;0.4
#271;SKU #271;#12;#1;#284;#35;#1;24.12.2014;01.01.1900;0.75;0.13
#272;SKU #272;;;;;;;;0;0
#273;SKU #273;#6;#1;#97;#17;#1;31.01.2020;01.01.1900;0.7;0.4
#274;SKU #274;;;;;;;;0;0
#275;SKU #275;#6;#1;#98;#17;#1;31.01.2020;01.01.1900;0.7;0.4
#276;SKU #276;#6;#1;#98;#17;#1;31.01.2020;01.01.1900;0.7;0.4
#277;SKU #277;#6;#1;#102;#17;#1;31.01.2020;01.01.1900;0.5;0.4
#278;SKU #278;#12;#1;#284;#35;#1;24.12.2014;01.01.1900;0.75;0.12
#279;SKU #279;#12;#1;#285;#35;#1;24.12.2014;01.01.1900;0.75;0.12
#280;SKU #280;#12;#2;#183;#32;#1;27.02.2017;01.01.1900;0.75;0.15
#281;SKU #281;#12;#2;#184;#32;#1;10.09.2015;01.01.1900;0.75;0.14
#282;SKU #282;#12;#2;#186;#32;#1;18.03.2016;22.07.2022;0.75;0.12
#283;SKU #283;#12;#1;#186;#32;#1;18.03.2016;01.01.1900;0.75;0.125
#284;SKU #284;#12;#1;#186;#32;#1;18.03.2016;01.01.1900;0.75;0.125
#285;SKU #285;#1;#1;#9;#1;#1;31.05.2016;01.01.1900;0.7;0.4
#286;SKU #286;#12;#2;#198;#33;#1;26.08.2016;01.01.1900;0.75;0.14
#287;SKU #287;#1;#2;#31;#1;#1;26.09.2016;07.09.2021;0.5;0.4
#288;SKU #288;#12;#2;#286;#36;#1;28.09.2016;01.01.1900;0.75;0.12
#289;SKU #289;#12;#2;#286;#36;#1;28.09.2016;01.01.1900;0.75;0.135
#290;SKU #290;#12;#2;#286;#36;#1;28.09.2016;01.01.1900;0.75;0.135
#291;SKU #291;#12;#2;#199;#33;#1;28.09.2016;01.01.1900;0.75;0.13
#292;SKU #292;#12;#2;#286;#36;#1;28.09.2016;01.01.1900;0.75;0.09
#293;SKU #293;#13;#2;#200;#33;#1;17.10.2016;22.07.2022;0.75;0.11
#294;SKU #294;;;;;;;;0;0
#295;SKU #295;;;;;;;;0;0
#296;SKU #296;#12;#1;#292;#40;#1;22.05.2018;01.01.1900;0.75;0.12
#297;SKU #297;#12;#1;#296;#40;#1;22.05.2018;01.01.1900;0.75;0.125
#298;SKU #298;#12;#1;#297;#40;#1;22.05.2018;01.01.1900;0.75;0.12
#299;SKU #299;#13;#1;#298;#40;#2;22.05.2018;01.01.1900;0.75;0.11
#300;SKU #300;#6;#2;#35;#1;#1;05.06.2018;23.03.2022;0.25;0.4
#301;SKU #301;;;;;;;;0;0
#302;SKU #302;#12;#1;#208;#33;#1;20.06.2018;01.01.1900;0.75;0.11
#303;SKU #303;#12;#2;#182;#32;#1;20.06.2018;01.01.1900;0.75;0.125
#304;SKU #304;#12;#1;#177;#32;#1;27.06.2018;01.01.1900;0.75;0.13
#305;SKU #305;#12;#1;#193;#33;#1;27.06.2018;01.01.1900;0.75;0.125
#306;SKU #306;#12;#2;#204;#33;#1;03.07.2018;01.01.1900;0.75;0.12
#307;SKU #307;;;;;;;;0;0
#308;SKU #308;#10;#1;#70;#8;#1;11.09.2018;01.01.1900;0.7;0.4
#309;SKU #309;#10;#1;#70;#8;#1;11.09.2018;01.01.1900;0.7;0.4
#310;SKU #310;#10;#1;#70;#8;#1;11.09.2018;01.01.1900;0.7;0.4
#311;SKU #311;#16;#1;#219;#33;#1;01.11.2018;01.01.1900;0.75;0.12
#312;SKU #312;#12;#1;#299;#41;#1;26.11.2018;01.01.1900;0.75;0.14
#313;SKU #313;#12;#1;#308;#41;#1;26.11.2018;01.01.1900;0.75;0.115
#314;SKU #314;#12;#1;#308;#41;#1;26.11.2018;01.01.1900;0.75;0.125
#315;SKU #315;#12;#1;#308;#41;#1;26.11.2018;01.01.1900;0.75;0.135
#316;SKU #316;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#317;SKU #317;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#318;SKU #318;#12;#1;#263;#34;#1;05.12.2018;01.01.1900;0.75;0.13
#319;SKU #319;#12;#1;#53;#3;#1;05.12.2018;01.01.1900;0.75;0.122
#320;SKU #320;#12;#1;#53;#3;#1;05.12.2018;01.01.1900;0.75;0.132
#321;SKU #321;#12;#1;#53;#3;#1;05.12.2018;01.01.1900;0.75;0.135
#322;SKU #322;#12;#1;#217;#33;#1;17.01.2019;01.01.1900;0.75;0.145
#323;SKU #323;#2;#1;#52;#2;#1;22.02.2019;01.01.1900;0.7;0.35
#324;SKU #324;#9;#1;#33;#1;#1;26.02.2019;01.01.1900;0.25;0.38
#325;SKU #325;;;;;;;;0;0
#326;SKU #326;#6;#2;#69;#7;#1;05.06.2013;01.01.1900;0.7;0.4
#327;SKU #327;#12;#2;#171;#32;#1;29.05.2014;01.01.1900;0.75;0.115
#328;SKU #328;#11;#2;#83;#10;#2;05.04.2019;05.04.2022;0.7;0.4
#329;SKU #329;;;;;;;;0;0
#330;SKU #330;;;;;;;;0;0
#331;SKU #331;;;;;;;;0;0
#332;SKU #332;#12;#2;#171;#32;#1;29.05.2014;22.07.2022;0.75;0.12
#333;SKU #333;#12;#2;#172;#32;#1;29.05.2014;01.01.1900;0.75;0.12
#334;SKU #334;#12;#2;#173;#32;#1;29.05.2014;22.07.2022;0.75;0.105
#335;SKU #335;#9;#1;#79;#8;#1;29.12.2014;01.01.1900;0.7;0.4
#336;SKU #336;;;;;;;;0;0
#337;SKU #337;#12;#1;#289;#38;#1;30.06.2017;01.01.1900;0.75;0.115
#338;SKU #338;#10;#1;#75;#8;#1;26.10.2012;01.01.1900;0.5;0.4
#339;SKU #339;;;;;;;;0;0
#340;SKU #340;;;;;;;;0;0
#341;SKU #341;#9;#1;#33;#1;#1;02.04.2020;01.01.1900;0.05;0.38
#342;SKU #342;#10;#1;#70;#8;#1;20.04.2020;01.01.1900;0.5;0.4
#343;SKU #343;#11;#1;#83;#10;#1;30.06.2020;01.01.1900;0.7;0.4
#344;SKU #344;#13;#1;#54;#3;#1;14.07.2020;01.01.1900;0.75;0.12
#345;SKU #345;;;;;;;;0;0
#346;SKU #346;#12;#2;#209;#33;#1;27.09.2017;01.01.1900;0.75;0.125
#347;SKU #347;;;;;;;;0;0
#348;SKU #348;#12;#1;#208;#33;#1;27.09.2017;01.01.1900;0.75;0.115
#349;SKU #349;#13;#1;#207;#33;#1;19.07.2017;01.01.1900;0.75;0.11
#350;SKU #350;#13;#1;#290;#38;#1;19.07.2017;01.01.1900;0.75;0.115
#351;SKU #351;#12;#1;#289;#38;#1;30.06.2017;01.01.1900;0.75;0.135
